"x"
"1"	5880
"2"	3038
"3"	3472
"4"	3891
"5"	4177
"6"	4950
"7"	4813
"8"	4996
"9"	5074
"10"	4609
"11"	4891
"12"	5172
"13"	4606
"14"	4867
"15"	5267
"16"	4808
"17"	5424
"18"	4727
"19"	5041
"20"	5359
"21"	4895
"22"	5241
"23"	5318
"24"	5445
"25"	5218
"26"	5333
"27"	5345
"28"	5173
"29"	5421
"30"	5338
"31"	5506
"32"	5404
"33"	5224
"34"	5560
"35"	5580
"36"	5346
"37"	5417
"38"	5297
"39"	5228
"40"	5443
"41"	5615
"42"	5420
"43"	5570
"44"	5531
"45"	5646
"46"	5509
"47"	5383
"48"	5466
"49"	5392
"50"	5462
"51"	5447
"52"	5557
"53"	5544
"54"	5551
"55"	5668
"56"	5646
"57"	5661
"58"	5560
"59"	5486
"60"	5639
"61"	5660
"62"	5727
"63"	5624
"64"	5569
"65"	5626
"66"	5642
"67"	5465
"68"	5621
"69"	5595
"70"	5507
"71"	5331
"72"	5702
"73"	5568
"74"	5592
"75"	5569
"76"	5581
"77"	5646
"78"	5611
"79"	5516
"80"	5563
"81"	5550
"82"	5606
"83"	5548
"84"	5619
"85"	5635
"86"	5742
"87"	5676
"88"	5411
"89"	5227
"90"	5315
"91"	5423
"92"	5546
"93"	5704
"94"	5707
"95"	5680
"96"	5680
"97"	5591
"98"	5758
"99"	5727
"100"	5718
"101"	5545
"102"	5742
"103"	5600
"104"	5608
"105"	5703
"106"	5710
"107"	5676
"108"	5605
"109"	5694
"110"	5685
"111"	5728
"112"	5703
"113"	5707
"114"	5707
"115"	5628
"116"	5605
"117"	5645
"118"	5643
"119"	5655
"120"	5721
"121"	5734
"122"	5636
"123"	5658
"124"	5703
"125"	5694
"126"	5602
"127"	5625
"128"	5706
"129"	5634
"130"	5577
"131"	5635
"132"	5634
"133"	5690
"134"	5688
"135"	5657
"136"	5662
"137"	5691
"138"	5669
"139"	5697
"140"	5612
"141"	5726
"142"	5723
"143"	5735
"144"	5731
"145"	5636
"146"	5643
"147"	5678
"148"	5599
"149"	5678
"150"	5666
"151"	5678
"152"	5665
"153"	5649
"154"	5656
"155"	5669
"156"	5689
"157"	5590
"158"	5633
"159"	5588
"160"	5672
"161"	5675
"162"	5653
"163"	5604
"164"	5687
"165"	5656
"166"	5599
"167"	5657
"168"	5675
"169"	5674
"170"	5700
"171"	5686
"172"	5612
"173"	5612
"174"	5667
"175"	5640
"176"	5491
"177"	5666
"178"	5674
"179"	5586
"180"	5623
"181"	5619
"182"	5642
"183"	5651
"184"	5634
"185"	5638
"186"	5617
"187"	5660
"188"	5704
"189"	5691
"190"	5597
"191"	5637
"192"	5679
"193"	5648
"194"	5643
"195"	5638
"196"	5644
"197"	5693
"198"	5647
"199"	5664
"200"	5608
"201"	5636
"202"	5574
"203"	5642
"204"	5586
"205"	5628
"206"	5666
"207"	5582
"208"	5660
"209"	5660
"210"	5650
"211"	5518
"212"	5674
"213"	5656
"214"	5627
"215"	5668
"216"	5654
"217"	5560
"218"	5515
"219"	5595
"220"	5667
"221"	5388
"222"	5624
"223"	5637
"224"	5557
"225"	5613
"226"	5543
"227"	5650
"228"	5619
"229"	5677
"230"	5681
"231"	5640
"232"	5643
"233"	5610
"234"	5626
"235"	5580
"236"	5644
"237"	5681
"238"	5655
"239"	5630
"240"	5605
"241"	5644
"242"	5595
"243"	5559
"244"	5611
"245"	5601
"246"	5624
"247"	5640
"248"	5635
"249"	5666
"250"	5613
"251"	5630
