"x"
"1"	5873
"2"	3062
"3"	3094
"4"	3272
"5"	3556
"6"	3803
"7"	4132
"8"	4449
"9"	4511
"10"	4604
"11"	4693
"12"	4709
"13"	4672
"14"	4596
"15"	4511
"16"	4472
"17"	4336
"18"	4333
"19"	4267
"20"	4272
"21"	4170
"22"	4167
"23"	4112
"24"	3982
"25"	3953
"26"	3922
"27"	3878
"28"	3856
"29"	3711
"30"	3715
"31"	3694
"32"	3631
"33"	3596
"34"	3683
"35"	3561
"36"	3595
"37"	3612
"38"	3508
"39"	3532
"40"	3539
"41"	3449
"42"	3493
"43"	3375
"44"	3442
"45"	3470
"46"	3513
"47"	3427
"48"	3470
"49"	3429
"50"	3492
"51"	3527
"52"	3520
"53"	3487
"54"	3485
"55"	3492
"56"	3514
"57"	3515
"58"	3520
"59"	3503
"60"	3465
"61"	3481
"62"	3525
"63"	3508
"64"	3475
"65"	3477
"66"	3512
"67"	3493
"68"	3520
"69"	3542
